gk_player_id,gk_name,gk_team,league,matches,xGA_pm,goals_conc_pm,saves_pm,save_pct,goals_prevented_pm,clean_sheet_pct,home_matches,home_save_pct,home_gp_pm,away_matches,away_save_pct,away_gp_pm,vs_hard_matches,vs_hard_save_pct,vs_hard_gp_pm,vs_easy_matches,vs_easy_save_pct,vs_easy_gp_pm,win_save_pct,draw_save_pct,loss_save_pct,ha_save_delta,adversity_index,consistency_cv,best_zone,zone_gp_six_yard,zone_gp_pen_area,zone_gp_outside_box,clinical_per_sot,loss_resilience
6015,Kouakou Herve Koffi,Angers,Ligue_1,28,1.6787,1.2143,4.1071,73.7,0.4644,35.7,15,76.5,0.385,13,70.4,0.556,7,62.1,0.3261,7,92.6,0.3999,90.0,79.4,63.4,6.1,-0.074,1.801,pen_area,-0.963,11.172,2.794,0.0834,63.4
6075,Antonio Sivera,Alaves,La_Liga,35,1.4565,1.5143,2.6,59.1,-0.0578,8.6,17,61.8,-0.0736,18,57.0,-0.0428,9,60.3,0.4289,9,52.2,-0.6051,63.0,66.7,54.1,4.8,1.034,16.366,six_yard,5.76,-6.063,-1.716,-0.0131,54.1
6110,Yvon Mvogo,Lorient,Ligue_1,29,1.6232,1.3103,2.4483,60.7,0.3129,17.2,14,73.1,0.3089,15,50.8,0.3167,8,44.7,0.5122,7,66.7,0.1176,83.3,50.0,51.4,22.3,0.395,2.411,pen_area,3.687,5.541,-0.154,0.0776,51.4
6167,Vanja Milinkovic-Savic,Napoli,Serie_A,26,1.1212,0.8077,2.0769,68.4,0.3135,42.3,13,67.5,0.3215,13,69.2,0.3055,7,60.0,0.8334,7,75.0,0.0036,73.5,63.2,65.4,-1.7,0.83,2.452,pen_area,-0.14,5.431,2.861,0.1032,65.4
6224,Marko Dmitrovic,Espanyol,La_Liga,34,1.735,1.4706,3.4706,65.9,0.2644,26.5,17,64.6,0.2399,17,67.0,0.2889,9,59.4,0.4169,9,80.8,0.4152,81.6,72.5,54.4,-2.4,0.002,3.107,pen_area,5.357,5.585,-1.953,0.0502,54.4
6321,Moritz Nicolas,Borussia M.Gladbach,Bundesliga,32,1.6315,1.5,3.875,67.8,0.1315,37.5,16,63.2,0.2063,16,71.0,0.0568,8,59.7,-0.0656,8,93.3,0.5109,85.7,80.0,56.9,-7.8,-0.576,8.154,outside_box,2.103,-2.631,4.733,0.023,56.9
6532,Martin Dubravka,Burnley,EPL,35,2.236,1.9143,3.5714,61.0,0.3217,11.4,17,68.7,0.4905,18,53.8,0.1623,9,61.9,1.2099,9,61.9,-0.3926,68.8,75.0,54.7,14.9,1.602,3.804,six_yard,9.196,1.338,0.733,0.0549,54.7
6596,Finn Dahmen,Augsburg,Bundesliga,32,1.9878,1.6875,3.0312,59.9,0.3003,15.6,16,56.3,0.0807,16,62.6,0.5199,8,53.6,0.052,8,65.4,0.1396,73.6,60.0,51.2,-6.3,-0.088,3.676,pen_area,2.135,7.573,-0.096,0.0593,51.2
6709,Yehvann Diouf,Nice,Ligue_1,24,1.946,1.7917,3.5417,63.4,0.1544,16.7,12,67.2,0.1882,12,59.7,0.1206,6,58.3,0.1992,6,66.7,0.2743,86.2,71.4,51.9,7.5,-0.075,6.896,pen_area,2.184,3.067,-1.546,0.0276,51.9
6903,Matz Sels,Nottingham Forest,EPL,27,1.6661,1.1481,3.0,66.9,0.5179,25.9,12,65.3,0.3261,15,68.1,0.6714,7,60.0,0.7861,7,69.6,-0.1164,83.3,65.7,58.9,-2.8,0.903,2.111,pen_area,7.952,8.95,-2.915,0.1156,58.9
